version,date,run_id,job,shard,fingerprint,cpu_model,cpu_vendor,cpu_family,cpu_model_number,cpu_stepping,microcode,cores,threads,l3_cache_bytes,mhz_max,mhz_at_probe,flags,boot_seconds,memcpy_gib_s,memcpy_probe_mib,vm_size,vm_location,vm_zone,vm_fault_domain,runner_name,measured_at,model_load_ms,job_seconds,server_prompt_tokens,server_prompt_seconds
2026-09-20,2026-09-21,2026-09-21-35575635445,assemble,0,5301d30a5a74b44c,AMD EPYC 7763 64-Core Processor,AuthenticAMD,25,1,1,0xffffffff,2,4,33554432,,2645.1144999999997,avx2 f16c fma sse4_2,52.31,40.66326171489407,512,Standard_D4ads_v5,eastus,,0,GitHub Actions 1000036331,2026-09-21T11:03:27Z,,,,
2026-09-20,2026-09-21,2026-09-21-35575635445,plan,0,8c1a99a591bdcdad,AMD EPYC 9V45 96-Core Processor,AuthenticAMD,26,2,1,0xffffffff,2,4,33554432,,3956.7035,avx2 avx512_bf16 avx512_vnni avx512f avx_vnni f16c fma sse4_2,156.95,48.48427960264821,512,Standard_D4ads_v7,centralus,,0,GitHub Actions 1000036180,2026-09-21T08:02:26Z,,,,
2026-09-20,2026-09-21,2026-09-21-35575635445,work,0,5301d30a5a74b44c,AMD EPYC 7763 64-Core Processor,AuthenticAMD,25,1,1,0xffffffff,2,4,33554432,,2644.4245,avx2 f16c fma sse4_2,185.39,41.70281257945886,512,Standard_D4ads_v5,eastus2,,0,GitHub Actions 1000036181,2026-09-21T08:04:22Z,3940.14,9674,33725,3960.43
2026-09-20,2026-09-21,2026-09-21-35575635445,work,1,292dc3d1d7ea24e0,INTEL(R) XEON(R) PLATINUM 8573C,GenuineIntel,6,207,2,0xffffffff,2,4,272629760,,2624.883,amx_bf16 amx_int8 amx_tile avx2 avx512_bf16 avx512_fp16 avx512_vnni avx512f avx_vnni f16c fma sse4_2,145.66,24.358720774595756,520,Standard_D4ds_v6,centralus,,0,GitHub Actions 1000036183,2026-09-21T08:04:32Z,2999.545,8477,28835,1027.96
2026-09-20,2026-09-21,2026-09-21-35575635445,work,2,7b85fba03e3e11e3,Intel(R) Xeon(R) 6973P-C,GenuineIntel,6,173,1,0xffffffff,2,4,503316480,,3400.2647500000003,amx_bf16 amx_int8 amx_tile avx2 avx512_bf16 avx512_fp16 avx512_vnni avx512f avx_vnni f16c fma sse4_2,156.48,23.944475481448574,960,Standard_D4ds_v7,centralus,,0,GitHub Actions 1000036184,2026-09-21T08:04:27Z,2986.485,7429,29124,1010.76
2026-09-20,2026-09-21,2026-09-21-35575635445,work,3,5301d30a5a74b44c,AMD EPYC 7763 64-Core Processor,AuthenticAMD,25,1,1,0xffffffff,2,4,33554432,,2645.17075,avx2 f16c fma sse4_2,128.46,41.73006506806407,512,Standard_D4ads_v5,westcentralus,,0,GitHub Actions 1000036182,2026-09-21T08:04:14Z,4151.903,10809,39147,4473.02
2026-09-20,2026-09-21,2026-09-21-35602243621,plan,0,292dc3d1d7ea24e0,INTEL(R) XEON(R) PLATINUM 8573C,GenuineIntel,6,207,2,0xffffffff,2,4,272629760,,2625.2075,amx_bf16 amx_int8 amx_tile avx2 avx512_bf16 avx512_fp16 avx512_vnni avx512f avx_vnni f16c fma sse4_2,160.81,23.99541688423716,520,Standard_D4ds_v6,centralus,,0,GitHub Actions 1000036525,2026-09-21T12:56:33Z,,,,
2026-09-20,2026-09-21,2026-09-21-35602243621,work,0,292dc3d1d7ea24e0,INTEL(R) XEON(R) PLATINUM 8573C,GenuineIntel,6,207,2,0xffffffff,2,4,272629760,,2514.4235,amx_bf16 amx_int8 amx_tile avx2 avx512_bf16 avx512_fp16 avx512_vnni avx512f avx_vnni f16c fma sse4_2,162.28,20.99807366644822,520,Standard_D4ds_v6,centralus,,0,GitHub Actions 1000036536,2026-09-21T12:59:01Z,3203.775,10905,35726,1628.64
2026-09-20,2026-09-21,2026-09-21-35602243621,work,1,9d0459022d60f8b3,AMD EPYC 9V74 80-Core Processor,AuthenticAMD,25,17,1,0xffffffff,2,4,33554432,,2733.27925,avx2 f16c fma sse4_2,129.22,35.144984659588495,512,Standard_D4ads_v5,eastus2,,0,GitHub Actions 1000036534,2026-09-21T12:58:21Z,3990.25,10107,45123,5169.38
2026-09-20,2026-09-21,2026-09-21-35602243621,work,2,5301d30a5a74b44c,AMD EPYC 7763 64-Core Processor,AuthenticAMD,25,1,1,0xffffffff,2,4,33554432,,2644.5315,avx2 f16c fma sse4_2,129.73,40.43256210509012,512,Standard_D4ads_v5,CanadaEast,,0,GitHub Actions 1000036533,2026-09-21T12:58:23Z,4198.004,10809,52262,6163.03
