version,date,run_id,item_id,url_key,canonical_url,vertical,source_id,stage,outcome,code,http_status,source_chars,source_words,summary_words,detail,fetch_ms,extract_ms,summarize_ms,prefill_ms,decode_ms,input_tokens,output_tokens,cached_tokens,source_words_before_cap,shard,job,span_integrity,elements_found,element_class,model_calls,label_kind,label_prefill_ms,label_decode_ms,label_input_tokens,label_output_tokens,label_cached_tokens,summary_kind,summary_prefill_ms,summary_decode_ms,summary_input_tokens,summary_output_tokens,summary_cached_tokens,truncation_cap_tokens,selection_score,authority_score,tier_score,feed_weight,feed_reliability,lens_bonus,recency_bonus,carriage_step,watchlist_bonus,carried_by,watchlist_hit,on_front_page,tier,source_form,published_at,time_source,item_started_at,item_ended_at,item_index,shard_item_count,queue_wait_ms,fetch_connect_ms,fetch_ttfb_ms,robots_ms,retry_count,retry_total_ms,label_ms,summary_ms,visual_plan_ms,visual_plan_ms_is_estimate,faithfulness_ms,model_wait_ms,item_total_ms,stage_gap_ms,visual_plan_tokens_written,label_cache_pct,summary_cache_pct,slot_id,kv_tokens_at_start,prefix_shared_with_previous,label_prefill_tokens_per_s,label_decode_tokens_per_s,summary_prefill_tokens_per_s,summary_decode_tokens_per_s,label_finish_reason,summary_finish_reason,recovered,cpu_model,cpu_busy_pct,cpu_busy_max,cpu_busy_min,cpu_steal_pct,load_1m,llama_rss_bytes,llama_rss_anon_bytes,llama_rss_peak_bytes,llama_major_faults,python_rss_bytes,python_rss_anon_bytes,model_id,model_quantisation,n_ctx_configured,n_parallel,n_threads,n_batch,weights_pinned,label_budget_tokens,summary_budget_tokens,run_visual_decision,temperature,failed_field,failed_rule,os_mem_available_bytes,os_mem_total_bytes,os_mem_cached_bytes,os_swap_free_bytes,os_swap_total_bytes,os_mem_available_min_bytes
2026-09-22,2026-09-24,2026-09-24-36041313894,ai-13s638ft85zwg51w,08f261a1fa417fc8143cf6d0b08ef5db3e259104d5ecd761875c8b99716c9738,https://techcrunch.com/2026/09/24/oracle-sends-force-majeure-notice-on-its-new-mexico-stargate-data-center,ai,techcrunch-ai,publish,ok,,,2351,377,65,,534,35,274316,41500,232788,6681,837,5536,377,2,work,True,4,unclassified,2,label,38996,204802,2951,737,1849,summarize_and_plan,2504,27986,3730,100,3687,,1.693858,0.6,0.6,1.0,1.0,0.0,0.5938575137019915,0.0,0.5,1,True,False,2,article,2026-09-24T18:11:44Z,feed,2026-09-24T18:32:12Z,2026-09-24T18:40:15Z,0,20,207954,70,315,96,0,0,243806,30497,,,428,28,275328,15,,62.66,98.85,0,3687,True,28.26,3.6,17.17,3.57,stop,stop,False,INTEL(R) XEON(R) PLATINUM 8573C,99.53,99.99,97.69,0.0,5.5,11879157760,7025893376,11934638080,0,1061371904,480804864,qwen3-5-9b-q4-k-m,q4_k_m,65536,1,4,2048,True,6491,4160,False,0.2,,,3282550784,16765370368,7775543296,3221176320,3221221376,3194445824
2026-09-22,2026-09-24,2026-09-24-36041313894,ai-gq44m32wacp6sage,85c84a0c5c532c6caa0eabcfac5765674f904762a1f77e63905144fdd427a031,https://wired.com/story/googles-gemini-can-now-make-calls-for-you-on-pixel-phones,ai,wired-ai,publish,ok,,,3919,671,74,,706,122,215975,54778,161163,7148,581,5637,671,2,work,True,3,unclassified,2,label,52289,130887,3317,472,1849,summarize_and_plan,2489,30276,3831,109,3788,,1.645713,0.6,0.6,1.0,1.0,0.0,0.5457126599448001,0.0,0.5,1,True,False,2,article,2026-09-24T16:00:00Z,feed,2026-09-24T18:32:13Z,2026-09-24T18:43:52Z,1,20,481884,117,268,239,0,0,183185,32772,,,1043,34,217862,16,,55.74,98.88,0,3788,True,28.07,3.61,17.28,3.6,stop,stop,False,INTEL(R) XEON(R) PLATINUM 8573C,99.12,99.99,97.53,0.0,5.37,11879567360,7026569216,11935490048,0,1068912640,488656896,qwen3-5-9b-q4-k-m,q4_k_m,65536,1,4,2048,True,6491,4160,False,0.2,,,3291590656,16765370368,7663554560,3221180416,3221221376,3252523008
2026-09-22,2026-09-24,2026-09-24-36041313894,ai-1jw36n56rk1911xv,0cb83354a6c4c29087bbe39793127b3016949a099e9ba6871de18632b1c9cab6,https://techpolicy.press/us-leadership-on-openweight-models-is-key-to-global-ai-safety-,ai,techpolicy-ai,publish,ok,,,5956,924,99,,1231,32,304068,73059,230975,8178,813,6250,924,2,work,True,5,unclassified,2,label,70428,189925,3733,669,1849,summarize_and_plan,2631,41050,4445,144,4401,,1.53736,1.0,1.0,1.0,1.0,0.0,0.537359811017458,0.0,0.0,1,False,False,1,article,2026-09-24T15:35:58Z,feed,2026-09-24T18:32:13Z,2026-09-24T19:45:35Z,2,20,4093010,249,394,417,0,0,260362,43690,,,3501,34,308853,21,,49.53,99.01,0,4401,True,26.75,3.52,16.72,3.51,stop,stop,False,INTEL(R) XEON(R) PLATINUM 8573C,98.8,99.99,97.35,0.0,4.63,13699461120,8847020032,13751300096,0,1050963968,492519424,qwen3-5-9b-q4-k-m,q4_k_m,65536,1,4,2048,True,6491,4160,False,0.2,,,1436741632,16765370368,5794304000,3220930560,3221221376,1404063744
2026-09-22,2026-09-24,2026-09-24-36041313894,ai-a9bgfebe83zfp10j,525707b96e40fefb041246a29389bff9f67f39241a410209fb525c6aa70276a6,https://bleepingcomputer.com/news/security/exposed-gitlab-project-email-addresses-let-attackers-push-code,ai,bleepingcomputer,publish,ok,,,3925,611,58,,934,30,298359,49245,249079,7182,893,5819,611,2,work,True,0,narrative,2,label,46693,223724,3169,802,1849,summarize_and_plan,2552,25355,4013,91,3970,,1.18478,0.6,0.6,1.0,1.0,0.0,0.5847802548833122,0.0,0.0,1,False,False,2,article,2026-09-24T17:47:44Z,feed,2026-09-24T18:32:15Z,2026-09-24T18:48:52Z,3,20,696689,117,429,368,0,0,270427,27916,,,1009,35,300347,15,,58.35,98.93,0,3970,True,28.27,3.58,16.85,3.59,stop,stop,False,INTEL(R) XEON(R) PLATINUM 8573C,99.39,99.99,97.49,0.0,5.65,11887157248,7034228736,11936018432,0,1068716032,488460288,qwen3-5-9b-q4-k-m,q4_k_m,65536,1,4,2048,True,6491,4160,False,0.2,,,3256578048,16765370368,7650787328,3221180416,3221221376,3193782272
2026-09-22,2026-09-24,2026-09-24-36041313894,energy-adq4jqd9z1gq12t7,536e495da9f861708b479801c538c6f4ef383e8bd8c9fabe3b7cc2d2853cda99,https://electrek.co/2026/09/24/anker-security-cameras-early-prime-day-sale-ecoflow-monthly-madness-flash-sale-ego-snow-blower,energy,electrek,publish,ok,,,12521,2162,106,,868,48,1165406,834401,330787,30056,934,17143,2162,2,work,True,256,chartable,2,label,829346,202856,14718,577,1849,summarize_and_plan,5055,127931,15338,357,15294,,1.189402,0.6,0.6,1.0,1.0,0.0,0.5894022730102068,0.0,0.0,1,False,False,2,article,2026-09-24T18:00:00Z,feed,2026-09-24T18:32:16Z,2026-09-24T20:44:56Z,4,20,6781983,148,504,129,0,0,1032364,133003,57336,True,11483,218,1177863,58,160,12.56,99.71,0,15294,True,15.52,2.84,8.7,2.79,stop,stop,False,INTEL(R) XEON(R) PLATINUM 8573C,98.34,99.99,90.9,0.0,5.09,13775986688,8940613632,14442704896,3,815620096,293773312,qwen3-5-9b-q4-k-m,q4_k_m,65536,1,4,2048,True,6491,4160,True,0.2,,value_error,1741316096,16765370368,5611114496,1723080704,3221221376,1146806272
2026-09-22,2026-09-24,2026-09-24-36041313894,energy-0w9jh9fjtwnhwczw,071328a5f2d72b1e33fc4e5a2a8d287c9bbecfc775cc8e96ebc95bed878fa8fd,https://oilprice.com/Latest-Energy-News/World-News/Vitol-Scoops-Up-25-Million-Barrels-of-Discounted-Iraqi-Crude.html,energy,oilprice,publish,ok,,,1960,315,58,,989,51,488608,50999,437573,7764,1546,6365,315,2,work,True,13,chartable,2,label,48351,369769,3205,1312,1849,summarize_and_plan,2648,67804,4559,234,4516,,1.178162,0.6,0.6,1.0,1.0,0.0,0.5781624233361597,0.0,0.0,1,False,False,2,article,2026-09-24T17:30:00Z,feed,2026-09-24T18:32:17Z,2026-09-24T18:57:01Z,5,20,994114,139,570,195,0,0,418128,70461,35061,True,399,36,490062,15,121,57.69,99.06,0,4516,True,28.04,3.55,16.24,3.45,stop,stop,False,INTEL(R) XEON(R) PLATINUM 8573C,99.62,99.99,97.38,0.0,4.94,11897765888,7044820992,11936722944,0,1063567360,483115008,qwen3-5-9b-q4-k-m,q4_k_m,65536,1,4,2048,True,6491,4160,True,0.2,,,3224952832,16765370368,7653089280,3221180416,3221221376,3219959808
2026-09-22,2026-09-24,2026-09-24-36041313894,business-economy-ps42r91adhcg6rat,b6482c242a6c5903615acb20dc67b0e33ba39b39224cbd00d488e106453cb7fe,https://channelnewsasia.com/business/white-house-asks-openai-anthropic-hold-models-british-testers-politico-reports-6409141,business-economy,cna-business,publish,ok,,,1042,162,65,,1288,109,145025,25213,119656,5416,436,4705,162,2,work,True,1,unclassified,2,label,22922,93399,2517,340,1849,summarize_and_plan,2291,26257,2899,96,2856,,1.684243,0.6,0.6,1.0,1.0,0.0,0.5842425526201458,0.0,0.5,1,True,False,2,article,2026-09-24T17:46:18Z,feed,2026-09-24T18:32:18Z,2026-09-24T18:59:26Z,6,20,1481738,314,158,636,0,0,116458,28555,,,206,156,146642,14,,73.46,98.52,0,2856,True,29.14,3.64,18.77,3.66,stop,stop,False,INTEL(R) XEON(R) PLATINUM 8573C,99.4,99.84,98.04,0.0,5.41,12283723776,7430778880,12283723776,0,1079324672,498872320,qwen3-5-9b-q4-k-m,q4_k_m,65536,1,4,2048,True,6491,4160,False,0.2,,,2877255680,16765370368,7396323328,3221180416,3221221376,2877255680
2026-09-22,2026-09-24,2026-09-24-36041313894,business-economy-a77ysa1hp41mhmnn,51cfeca831b10348d2b5a6b844276765e1e1a267e4de87f8f717be7337bb1256,https://businesstoday.in/bt-tv/short-video/adani-groups-big-bengal-push-gautam-adani-announces-rs1-lakh-crore-investment-in-bengal-by-2035-557524-2026-09-24,business-economy,business-today-in,extract,failed,no_text,,0,0,,extractor found no article text,1561,120,,,,,,,,2,work,,,,,,,,,,,,,,,,,,1.52015,0.6,0.6,1.0,1.0,0.0,0.42014981787100564,0.0,0.5,1,True,False,2,article,2026-09-24T09:12:35Z,feed,2026-09-24T18:32:19Z,2026-09-24T18:32:21Z,7,20,,88,706,346,0,0,,,,,,,1682,1,,,,,,,,,,,,,,INTEL(R) XEON(R) PLATINUM 8573C,,,,,,,,,,,,qwen3-5-9b-q4-k-m,q4_k_m,65536,1,4,2048,True,6491,4160,,0.2,,,,,,,,
2026-09-22,2026-09-24,2026-09-24-36041313894,business-economy-g6twn3c03ejremcb,81b5ca8d801ba587518b618a147a89b94851b461ce930d1ffbeffc82dabd74e0,https://aljazeera.com/news/2026/9/24/ukrainian-knifeman-kills-one-wounds-four-at-abbey-in-poland?traffic_source=rss,business-economy,aljazeera-economy,fetch,failed,robots_denied,,0,0,,robots.txt disallows this path,909,0,,,,,,,,2,work,,,,,,,,,,,,,,,,,,1.172813,0.6,0.6,1.0,1.0,0.0,0.5728130466974095,0.0,0.0,1,False,False,2,article,2026-09-24T17:15:31Z,feed,2026-09-24T18:32:21Z,2026-09-24T18:32:22Z,8,20,,,,909,,,,,,,,,910,1,,,,,,,,,,,,,,INTEL(R) XEON(R) PLATINUM 8573C,,,,,,,,,,,,qwen3-5-9b-q4-k-m,q4_k_m,65536,1,4,2048,True,6491,4160,,0.2,,,,,,,,
2026-09-22,2026-09-24,2026-09-24-36041313894,world-v7a1qn5xya4a4w63,d9d41bd4bdf288a270c32d468e168c5fffda0340d42e3602aab2ac73a217c35e,https://news.cgtn.com/news/2026-09-24/German-auto-executives-call-for-deeper-cooperation-with-China-on-NEVs-1QH3YrNpRbq/p.html,world,cgtn-china,publish,ok,,,4721,687,54,,1570,75,548277,77330,470907,9199,1644,7143,687,2,work,True,16,chartable,2,label,74547,409843,3862,1433,1849,summarize_and_plan,2783,61064,5337,211,5294,,1.335434,1.0,1.0,1.0,1.0,0.0,0.3354336247114226,0.0,0.0,1,False,False,1,article,2026-09-24T03:21:43Z,feed,2026-09-24T18:32:22Z,2026-09-24T19:08:35Z,9,20,1622743,103,50,1347,0,0,484399,63858,30677,True,1036,40,550972,14,106,47.88,99.19,0,5294,True,27.0,3.5,15.45,3.46,stop,stop,False,INTEL(R) XEON(R) PLATINUM 8573C,99.49,99.99,97.54,0.0,4.61,12291067904,7438123008,12291067904,0,1069780992,489328640,qwen3-5-9b-q4-k-m,q4_k_m,65536,1,4,2048,True,6491,4160,True,0.2,,,2852421632,16765370368,7279931392,3221180416,3221221376,2852421632
