version,date,run_id,shard,shards,scraped_at,prompt_tokens_total,prompt_tokens_cached_total,prompt_seconds_total,tokens_predicted_total,tokens_predicted_seconds_total,n_decode_total,n_tokens_max,n_busy_slots_per_decode,job_seconds,cpu_model
2026-08-27,2026-08-27,2026-08-27-1,2,4,2026-08-27T13:55:16Z,29673,26754,921.478,7948,2270.95,8025,3321,1.0,,
2026-08-27,2026-08-27,2026-08-27-1,0,4,2026-08-27T14:10:12Z,27616,21261,2814.8,6568,1258.24,6637,4288,1.0,,
2026-08-27,2026-08-27,2026-08-27-1,3,4,2026-08-27T14:15:34Z,29705,24915,3012.63,8373,1547.25,8450,3892,1.0,,
2026-08-27,2026-08-27,2026-08-27-1,1,4,2026-08-27T14:18:54Z,30684,23074,3112.44,7475,1399.24,7553,3619,1.0,,
2026-08-27,2026-08-27,2026-08-27-2,3,8,2026-08-27T21:11:51Z,17672,11067,432.167,3705,958.087,3748,4432,1.0,,
2026-08-27,2026-08-27,2026-08-27-2,6,8,2026-08-27T21:15:27Z,12059,9222,1218.3,2878,522.286,2909,3421,1.0,,
2026-08-27,2026-08-27,2026-08-27-2,0,8,2026-08-27T21:21:48Z,14179,11992,1452.93,3574,632.035,3613,2549,1.0,,
2026-08-27,2026-08-27,2026-08-27-2,5,8,2026-08-27T21:29:31Z,17553,10146,1788.68,3822,682.653,3866,4068,1.0,,
2026-08-27,2026-08-27,2026-08-27-2,4,8,2026-08-27T21:30:33Z,18641,10146,1911.03,3668,710.674,3714,4068,1.0,,
2026-08-27,2026-08-27,2026-08-27-2,1,8,2026-08-27T21:30:48Z,17209,8313,1762.7,3619,687.266,3661,3602,1.0,,
2026-08-27,2026-08-27,2026-08-27-2,7,8,2026-08-27T21:30:48Z,19119,10149,1933.68,3795,695.957,3840,4137,1.0,,
2026-08-27,2026-08-27,2026-08-27-2,2,8,2026-08-27T21:36:18Z,21358,10149,2154.31,4176,757.651,4225,4064,1.0,,
2026-08-27,2026-08-27,2026-08-27-3,3,4,2026-08-28T00:46:15Z,27222,20292,1893.15,5964,1039.36,6029,4071,1.0,,
2026-08-27,2026-08-27,2026-08-27-3,2,4,2026-08-28T01:07:27Z,29341,20291,2990.37,6345,1178.93,6414,4080,1.0,,
2026-08-27,2026-08-27,2026-08-27-3,1,4,2026-08-28T01:15:07Z,32531,22139,3292.3,7175,1321.95,7255,3959,1.0,,
2026-08-27,2026-08-27,2026-08-27-3,0,4,2026-08-28T01:22:16Z,35425,23960,3622.63,8239,1461.16,8327,4417,1.0,,
2026-08-27,2026-08-28,2026-08-28-1,1,4,2026-08-28T15:40:46Z,27797,24003,2842.72,7102,1246.03,7175,3580,1.0,,
2026-08-27,2026-08-28,2026-08-28-1,0,4,2026-08-28T15:46:41Z,28689,22980,2938.91,7639,1380.03,7712,4120,1.0,,
2026-08-27,2026-08-28,2026-08-28-1,2,4,2026-08-28T16:00:38Z,35176,24013,3273.32,7897,1936.92,7984,4042,1.0,,
2026-08-27,2026-08-28,2026-08-28-1,3,4,2026-08-28T16:01:10Z,36421,23981,3730.64,7716,1500.22,7800,3780,1.0,,
2026-08-27,2026-08-29,2026-08-29-1,3,4,2026-08-29T02:38:48Z,27361,23060,716.262,7077,1943.99,7148,3112,1.0,,
2026-08-27,2026-08-29,2026-08-29-1,0,4,2026-08-29T03:05:55Z,29284,20293,3004.13,6380,1139.35,6453,3745,1.0,,
2026-08-27,2026-08-29,2026-08-29-1,1,4,2026-08-29T03:07:30Z,30140,21224,3043.8,7174,1267.41,7249,4644,1.0,,
2026-08-27,2026-08-29,2026-08-29-1,2,4,2026-08-29T03:13:46Z,33336,24916,3365.75,7478,1375.77,7561,3320,1.0,,
2026-08-29,2026-08-29,2026-08-29-2,3,4,2026-08-29T09:55:57Z,29248,20292,1396.12,6313,1042.42,6385,4570,1.0,2785,AMD EPYC 9V45 96-Core Processor
2026-08-29,2026-08-29,2026-08-29-2,2,4,2026-08-29T10:00:58Z,39541,22159,1741.78,7335,978.352,7430,4925,1.0,3086,AMD EPYC 9V45 96-Core Processor
2026-08-29,2026-08-29,2026-08-29-2,1,4,2026-08-29T10:04:15Z,27928,22042,1924.88,6628,1073.83,6698,4178,1.0,3283,AMD EPYC 9V74 80-Core Processor
2026-08-29,2026-08-29,2026-08-29-2,0,4,2026-08-29T10:19:42Z,25099,21217,2545.9,6935,1215.02,6999,3122,1.0,4208,AMD EPYC 7763 64-Core Processor
2026-08-29,2026-08-29,2026-08-29-3,0,4,2026-08-29T20:30:35Z,38966,24907,1018.83,8039,2239.32,8133,5516,1.0,3561,INTEL(R) XEON(R) PLATINUM 8573C
2026-08-29,2026-08-29,2026-08-29-3,2,4,2026-08-29T20:44:36Z,27982,22133,2864.55,6916,1242.18,6984,5361,1.0,4401,AMD EPYC 7763 64-Core Processor
2026-08-29,2026-08-29,2026-08-29-3,1,4,2026-08-29T21:06:44Z,38540,23986,3916.21,8062,1433.76,8157,6052,1.0,5729,AMD EPYC 7763 64-Core Processor
2026-08-29,2026-08-29,2026-08-29-3,3,4,2026-08-29T21:10:10Z,39241,24911,4010.73,8093,1489.5,8183,5724,1.0,5934,AMD EPYC 7763 64-Core Processor
2026-08-29,2026-08-29,2026-08-29-3,1,4,2026-08-29T23:15:18Z,30510,23982,3120.42,7221,1268.59,7294,3567,1.0,4688,AMD EPYC 7763 64-Core Processor
2026-08-29,2026-08-29,2026-08-29-3,3,4,2026-08-29T23:38:57Z,42816,21221,4375.07,7912,1436.15,8013,5724,1.0,6108,AMD EPYC 7763 64-Core Processor
