version,date,run_id,item_id,url_key,canonical_url,vertical,source_id,stage,outcome,code,http_status,source_chars,source_words,summary_words,detail,fetch_ms,extract_ms,summarize_ms,prefill_ms,decode_ms,input_tokens,output_tokens,cached_tokens,source_words_before_cap,shard,job,span_integrity,elements_found,element_class,model_calls,label_kind,label_prefill_ms,label_decode_ms,label_input_tokens,label_output_tokens,label_cached_tokens,summary_kind,summary_prefill_ms,summary_decode_ms,summary_input_tokens,summary_output_tokens,summary_cached_tokens,truncation_cap_tokens,selection_score,authority_score,tier_score,feed_weight,feed_reliability,lens_bonus,recency_bonus,carriage_step,watchlist_bonus,carried_by,watchlist_hit,on_front_page,tier,source_form,published_at,time_source,item_started_at,item_ended_at,item_index,shard_item_count,queue_wait_ms,fetch_connect_ms,fetch_ttfb_ms,robots_ms,retry_count,retry_total_ms,label_ms,summary_ms,visual_plan_ms,visual_plan_ms_is_estimate,faithfulness_ms,model_wait_ms,item_total_ms,stage_gap_ms,visual_plan_tokens_written,label_cache_pct,summary_cache_pct,slot_id,kv_tokens_at_start,prefix_shared_with_previous,label_prefill_tokens_per_s,label_decode_tokens_per_s,summary_prefill_tokens_per_s,summary_decode_tokens_per_s,label_finish_reason,summary_finish_reason,recovered,cpu_model,cpu_busy_pct,cpu_busy_max,cpu_busy_min,cpu_steal_pct,load_1m,llama_rss_bytes,llama_rss_anon_bytes,llama_rss_peak_bytes,llama_major_faults,python_rss_bytes,python_rss_anon_bytes,model_id,model_quantisation,n_ctx_configured,n_parallel,n_threads,n_batch,weights_pinned,max_output_tokens,label_budget_tokens,summary_budget_tokens,run_visual_decision,temperature,failed_field,failed_rule,os_mem_available_bytes,os_mem_total_bytes,os_mem_cached_bytes,os_swap_free_bytes,os_swap_total_bytes,os_mem_available_min_bytes
2026-09-20T18:00,2026-09-21,2026-09-21-35645482100,ai-x4pxvamhg54vfbs7,e92dddaa918149b7af2765419c26403f23a3af021e1221fca01c6f05e974c375,https://blogs.nvidia.com/blog/dsx-ready-ai-factories-power-cooling,ai,nvidia-newsroom,publish,ok,,,3250,468,66,,346,26,447550,327483,120000,6484,621,3439,468,0,work,True,0,narrative,2,label,320700,86866,2989,451,0,summarize_and_plan,6783,33134,3495,170,3439,,2.065042,1.0,1.0,1.0,1.0,0.0,0.5650417862806976,0.0,0.5,1,True,False,1,article,2026-09-21T18:00:07Z,feed,2026-09-21T19:38:17Z,2026-09-21T19:46:00Z,0,20,14678,49,58,220,0,0,407601,39927,,,1230,67,449158,6,,0.0,98.4,0,3439,False,9.32,5.19,8.26,5.13,stop,stop,False,AMD EPYC 9V74 80-Core Processor,99.39,99.89,99.25,0.0,4.95,10324819968,4637810688,10376593408,0,1345466368,582946816,qwen3-5-9b-q4-k-m,q4_k_m,65536,1,4,2048,True,2000,6491,4735,False,0.2,,,4755161088,16766410752,9992232960,3221135360,3221221376,4717809664
2026-09-20T18:00,2026-09-21,2026-09-21-35645482100,ai-w857257qfq3yapbh,e20a7114f77dc7e559714528b3731f27db10399c8b5195724dc007eff71ab507,https://bleepingcomputer.com/news/microsoft/microsoft-to-retire-microsoft-365-companion-apps-in-december,ai,bleepingcomputer,publish,ok,,,2724,420,79,,956,24,554885,380354,174481,7461,877,3964,420,0,work,True,18,unclassified,2,label,373702,102613,3446,519,0,summarize_and_plan,6652,71868,4015,358,3964,,1.663123,0.6,0.6,1.0,1.0,0.0,0.5631230304510682,0.0,0.5,1,True,False,2,article,2026-09-21T17:54:49Z,feed,2026-09-21T19:38:17Z,2026-09-21T19:55:16Z,1,20,462484,93,433,410,0,0,476325,78533,24291,True,1072,50,556943,6,121,0.0,98.73,0,3964,False,9.22,5.06,7.67,4.98,stop,stop,False,AMD EPYC 9V74 80-Core Processor,99.4,99.99,99.24,0.0,5.79,10378813440,4691804160,10378813440,0,1347948544,585191424,qwen3-5-9b-q4-k-m,q4_k_m,65536,1,4,2048,True,2000,6491,4735,True,0.2,,,4718555136,16766410752,9994784768,3221139456,3221221376,4718555136
2026-09-20T18:00,2026-09-21,2026-09-21-35645482100,ai-1dpakee822c4dcsh,0b6ca9b9c8109846b331398465bb025ad91729bd2a7063289f332b80b1ccbbce,https://straitstimes.com/business/saudi-arabia-ramps-up-gulf-oil-exports-after-pipeline-attack-data-shows,ai,straitstimes-business,publish,ok,,,1610,276,79,,1197,32,659329,334748,324535,6975,1603,3866,276,0,work,True,12,chartable,2,label,328118,162537,3058,809,0,summarize_and_plan,6630,161998,3917,794,3866,,1.555584,1.0,1.0,1.0,1.0,0.0,0.5555842534623389,0.0,0.0,1,False,False,1,article,2026-09-21T17:33:49Z,feed,2026-09-21T19:38:18Z,2026-09-21T20:06:17Z,2,20,1017218,179,443,560,0,0,490665,168640,97729,True,795,46,661359,6,479,0.0,98.7,0,3866,False,9.32,4.98,7.69,4.9,stop,stop,False,AMD EPYC 9V74 80-Core Processor,99.55,99.99,98.62,0.0,5.8,10381107200,4694097920,10381107200,0,1393553408,630726656,qwen3-5-9b-q4-k-m,q4_k_m,65536,1,4,2048,True,2000,6491,4735,True,0.2,,value_error,4653477888,16766410752,9996439552,3221139456,3221221376,4653477888
2026-09-20T18:00,2026-09-21,2026-09-21-35645482100,ai-d9mmgffd87fkgqze,6a69483ded41df385fee217668b9412dedad0cd19afa4ab569f2a95955343945,https://straitstimes.com/business/singapore-set-aside-3-7-billion-of-green-bond-proceeds-for-electric-rail-expansion-in-fy2025,ai,straitstimes-business,publish,ok,,,5661,925,87,,493,42,968640,483214,485363,13627,2147,9665,925,0,work,True,68,chartable,2,label,475462,379880,5936,1704,2026,summarize_and_plan,7752,105483,7691,443,7639,,1.464553,1.0,1.0,1.0,1.0,0.0,0.464552655430838,0.0,0.0,1,False,False,1,article,2026-09-21T12:55:00Z,feed,2026-09-21T19:38:19Z,2026-09-21T21:27:20Z,3,20,5566027,32,396,0,0,0,855354,113251,32383,True,5463,63,974646,8,136,34.13,99.32,0,7639,True,8.22,4.49,6.71,4.2,stop,stop,False,AMD EPYC 9V74 80-Core Processor,99.35,99.99,98.04,0.0,5.49,11436347392,5749846016,11454652416,0,1371987968,610578432,qwen3-5-9b-q4-k-m,q4_k_m,65536,1,4,2048,True,2000,6491,4735,True,0.2,,,3626156032,16766410752,8735522816,3221139456,3221221376,3626156032
2026-09-20T18:00,2026-09-21,2026-09-21-35645482100,ai-qksapcg8frjbrrmn,bcf2ab32087e24bc6295439356d49184356d5f969efc2cc887e2e95acf6efabb,https://straitstimes.com/opinion/forum/forum-why-should-customers-lose-money-when-platforms-cancel-orders,ai,straitstimes-opinion,publish,ok,,,965,148,59,,526,29,346402,276160,70115,5358,358,2760,148,0,work,True,0,narrative,2,label,269441,42870,2542,219,0,summarize_and_plan,6719,27245,2816,139,2760,,1.251679,1.0,1.0,1.0,1.0,0.0,0.25167865589576016,0.0,0.0,1,False,False,1,article,2026-09-20T21:00:00Z,feed,2026-09-21T19:38:20Z,2026-09-21T20:12:03Z,4,20,1676256,24,437,0,0,0,312414,33972,,,431,127,347394,6,,0.0,98.01,0,2760,False,9.43,5.11,8.33,5.1,stop,stop,False,AMD EPYC 9V74 80-Core Processor,99.42,99.94,98.84,0.0,5.78,10668929024,4981919744,10673565696,0,1393483776,630747136,qwen3-5-9b-q4-k-m,q4_k_m,65536,1,4,2048,True,2000,6491,4735,False,0.2,,,4376449024,16766410752,9710374912,3221139456,3221221376,4376449024
2026-09-20T18:00,2026-09-21,2026-09-21-35645482100,energy-yecdkajbtp9wc97x,f398d9aa4bd593c624fd6a3a249255ed92ceab3cc28ff0b3c6d30d97ad8c5dde,https://modernpowersystems.com/news/comment/europes-policies-shape-offshore-wind-as-renewable-power-frontier-says-globaldata,energy,modern-power,publish,ok,,,414,62,38,,588,34,81867,49516,32318,4938,166,4499,62,0,work,True,0,narrative,2,label,42972,12678,2409,65,2026,summarize_and_plan,6544,19640,2529,101,2473,,1.166246,0.6,0.6,1.0,1.0,0.0,0.5662458415134909,0.0,0.0,1,False,False,2,article,2026-09-21T18:03:26Z,feed,2026-09-21T19:38:20Z,2026-09-21T20:13:25Z,5,20,2022473,65,388,130,0,0,55659,26192,,,246,33,82741,6,,84.1,97.79,0,2473,True,8.91,5.13,8.56,5.14,stop,stop,False,AMD EPYC 9V74 80-Core Processor,99.43,99.68,99.34,0.0,5.97,10724769792,5037760512,10724769792,0,1393483776,630747136,qwen3-5-9b-q4-k-m,q4_k_m,65536,1,4,2048,True,2000,6491,4735,False,0.2,,,4318167040,16766410752,9710542848,3221139456,3221221376,4318167040
2026-09-20T18:00,2026-09-21,2026-09-21-35645482100,business-economy-tvbac5mcfnqn95zc,d6d6a6168c7d6f5497ec68dfb8af2f8de2c84b54550a3d4859dbc402342e7c7c,https://channelnewsasia.com/asia/google-child-abuse-report-directly-indian-authorities-6400081,business-economy,cna-business,publish,ok,,,2238,346,80,,646,105,286661,100353,186271,6552,956,5668,346,0,work,True,3,unclassified,2,label,93382,153595,2854,789,2026,summarize_and_plan,6971,32676,3698,167,3642,,1.599496,0.6,0.6,1.0,1.0,0.0,0.49949552744651554,0.0,0.5,1,True,False,2,article,2026-09-21T14:48:00Z,feed,2026-09-21T19:38:21Z,2026-09-21T20:18:13Z,6,20,2103840,128,72,432,0,0,246987,39657,,,829,37,288248,7,,70.99,98.49,0,3642,True,8.87,5.14,8.03,5.11,stop,stop,False,AMD EPYC 9V74 80-Core Processor,99.63,99.99,99.42,0.0,5.62,10779099136,5092089856,10779099136,0,1347547136,584810496,qwen3-5-9b-q4-k-m,q4_k_m,65536,1,4,2048,True,2000,6491,4735,False,0.2,,,4292354048,16766410752,9710948352,3221139456,3221221376,4259876864
2026-09-20T18:00,2026-09-21,2026-09-21-35645482100,business-economy-je1gp4cry92xt29r,93830b1198f245dd09385ec0aee5dad20a1fa6629ff2973598ca4cb9d21f5eb8,https://qz.com/nscale-ipo-microsoft-anthropic-contract-backlog-092126,business-economy,quartz,publish,ok,,,2857,453,69,,115,56,713262,205565,507646,8965,2437,7186,453,0,work,True,20,chartable,2,label,198539,285190,3754,1407,2026,summarize_and_plan,7026,222456,5211,1030,5160,,1.565293,0.5072727272727272,0.6,1.0,0.8454545454545455,0.0,0.5580202353096563,0.0,0.5,1,True,False,2,article,2026-09-21T17:40:38Z,feed,2026-09-21T19:38:22Z,2026-09-21T20:30:08Z,7,20,2391165,14,19,73,0,0,483739,229496,146648,True,1310,51,714750,7,679,53.97,99.02,0,5160,True,8.7,4.93,7.26,4.63,stop,stop,False,AMD EPYC 9V74 80-Core Processor,99.67,99.99,99.33,0.0,5.38,10779496448,5092503552,10779496448,0,1350918144,588181504,qwen3-5-9b-q4-k-m,q4_k_m,65536,1,4,2048,True,2000,6491,4735,True,0.2,,value_error,4287168512,16766410752,9548156928,3221139456,3221221376,4281913344
2026-09-20T18:00,2026-09-21,2026-09-21-35645482100,business-economy-fgehyc6se6gzsrm0,7c1d1f30d971a1fce2805d392bad96133d366c848c35aa0155b2f8037a54ad69,https://marginalrevolution.com/marginalrevolution/2026/09/further-results-on-ai-and-labor-market-reallocation.html,business-economy,marginal-revolution,publish,ok,,,1547,224,86,,402,14,169237,84280,84835,5697,438,4953,224,0,work,True,2,unclassified,2,label,77450,41771,2714,214,2026,summarize_and_plan,6830,43064,2983,224,2927,,1.183312,0.6,0.6,1.0,1.0,0.0,0.5833121222813983,0.0,0.0,1,False,False,2,article,2026-09-21T18:49:42Z,feed,2026-09-21T19:38:22Z,2026-09-21T20:32:58Z,8,20,3105328,12,290,95,0,0,119318,49903,,,725,122,170384,6,,74.65,98.12,0,2927,True,8.88,5.12,8.2,5.2,stop,stop,False,AMD EPYC 9V74 80-Core Processor,99.49,99.93,99.35,0.0,5.34,11098750976,5412069376,11151511552,0,1389809664,627073024,qwen3-5-9b-q4-k-m,q4_k_m,65536,1,4,2048,True,2000,6491,4735,False,0.2,,,3941548032,16766410752,9308106752,3221139456,3221221376,3941548032
2026-09-20T18:00,2026-09-21,2026-09-21-35645482100,business-economy-hwnpwxs3jwpjqa95,8f2b6e7723972d2ba92585cebfea5c10ae21fa3928e4065d4a7f1ad2a06f731d,https://aljazeera.com/video/newsfeed/2026/9/21/protesters-march-on-islamabad-over-soaring-fuel-prices?traffic_source=rss,business-economy,aljazeera-economy,fetch,failed,robots_denied,,0,0,,robots.txt disallows this path,217,0,,,,,,,,0,work,,,,,,,,,,,,,,,,,,1.160971,0.6,0.6,1.0,1.0,0.0,0.5609707171596832,0.0,0.0,1,False,False,2,article,2026-09-21T17:48:51Z,feed,2026-09-21T19:38:22Z,2026-09-21T19:38:22Z,9,20,,,,217,,,,,,,,,218,1,,,,,,,,,,,,,,AMD EPYC 9V74 80-Core Processor,,,,,,,,,,,,qwen3-5-9b-q4-k-m,q4_k_m,65536,1,4,2048,True,2000,6491,4735,,0.2,,,,,,,,
